Município,2013,2014,2015,2016,2017
Arapoema (TO),78.412,86.911,96.251,106.385,99.454
Arraias (TO),157.478,137.001,129.116,143.069,159.682
Augustinópolis (TO),165.829,171.729,190.943,222.277,235.998
Aurora do Tocantins (TO),31.699,33.875,37.445,41.487,40.972
Axixá do Tocantins (TO),79.718,83.505,92.032,104.586,103.842
Babaçulândia (TO),84.676,90.440,92.000,101.667,102.829
Bandeirantes do Tocantins (TO),83.175,90.901,86.779,83.262,68.677
Barra do Ouro (TO),44.373,50.601,48.748,55.246,46.306
Barrolândia (TO),53.920,55.472,61.091,71.681,84.020
Bernardo Sayão (TO),50.558,54.142,64.822,75.545,77.636
Bom Jesus do Tocantins (TO),45.052,71.087,60.935,61.567,63.217
Brasilândia do Tocantins (TO),31.570,34.646,39.755,39.484,38.491
Brejinho de Nazaré (TO),77.799,89.374,95.909,89.586,154.449
Buriti do Tocantins (TO),66.688,68.182,76.159,87.768,94.762
Cachoeirinha (TO),17.929,21.664,22.182,26.403,25.904
Campos Lindos (TO),286.958,381.718,314.383,274.355,290.585
Cariri do Tocantins (TO),127.304,223.167,286.391,295.819,345.108
Carmolândia (TO),30.244,33.225,32.234,35.398,35.771
Carrasco Bonito (TO),27.368,29.129,30.620,34.606,37.415
Caseara (TO),56.380,66.646,64.811,161.634,132.681
Centenário (TO),20.081,24.603,28.078,30.300,33.009
Chapada de Areia (TO),15.411,17.096,19.606,21.829,26.019
Chapada da Natividade (TO),43.802,56.449,60.989,61.465,66.294
Colinas do Tocantins (TO),472.128,490.489,577.208,637.264,688.212
Combinado (TO),47.370,50.251,53.659,59.185,66.065
Conceição do Tocantins (TO),35.732,37.662,41.708,50.420,49.724
Couto Magalhães (TO),55.500,58.614,76.717,78.518,95.824
Cristalândia (TO),82.712,86.668,98.549,113.432,106.139
Crixás do Tocantins (TO),25.061,29.517,37.604,39.209,41.085
Darcinópolis (TO),66.302,70.302,73.666,122.321,135.746
Dianópolis (TO),312.851,367.369,249.360,282.631,305.971
Divinópolis do Tocantins (TO),73.311,80.648,97.208,115.666,120.258
Dois Irmãos do Tocantins (TO),69.386,70.479,79.790,91.628,102.384
Dueré (TO),78.199,92.607,116.330,125.621,120.169
Esperantina (TO),68.008,69.604,74.414,81.060,85.647
Fátima (TO),43.961,52.263,60.454,60.585,59.339
Figueirópolis (TO),118.029,131.493,137.387,117.445,157.256
Filadélfia (TO),78.516,85.224,87.910,97.953,98.161
Formoso do Araguaia (TO),325.638,326.870,357.367,369.443,396.153
Tabocão (TO),104.411,120.635,137.466,134.560,151.011
Goianorte (TO),46.538,51.234,55.482,65.702,79.242
Goiatins (TO),111.081,130.264,134.107,146.998,150.014
Guaraí (TO),414.598,462.139,574.531,563.298,603.161
Gurupi (TO),1.616.666,1.661.897,1.842.379,2.033.483,2.236.415
Ipueiras (TO),27.536,30.945,30.311,30.277,36.670
Itacajá (TO),71.812,78.295,78.678,85.164,98.358
Itaguatins (TO),42.853,46.278,50.622,56.435,59.446
Itapiratins (TO),48.080,59.216,55.777,53.002,70.087
Itaporã do Tocantins (TO),30.359,33.729,38.491,42.185,43.250
Jaú do Tocantins (TO),38.722,42.368,47.108,53.395,58.414
Juarina (TO),20.055,21.243,29.238,32.850,35.635
Lagoa da Confusão (TO),329.552,447.045,454.390,468.635,527.537
Lagoa do Tocantins (TO),28.513,30.832,33.124,34.789,38.617
Lajeado (TO),43.321,47.445,54.901,58.015,64.209
Lavandeira (TO),76.562,15.797,19.121,22.114,23.879
Lizarda (TO),24.965,26.998,30.967,33.505,34.202
Luzinópolis (TO),36.436,29.495,32.511,35.274,34.212
Marianópolis do Tocantins (TO),60.716,66.025,82.552,100.281,120.349
Mateiros (TO),125.520,168.319,103.507,56.428,126.267
Maurilândia do Tocantins (TO),24.742,26.311,28.407,31.625,33.224
Miracema do Tocantins (TO),417.036,394.294,503.060,645.716,526.569
Miranorte (TO),146.539,168.699,203.125,219.094,227.744
Monte do Carmo (TO),81.918,118.735,118.830,129.412,159.484
Monte Santo do Tocantins (TO),24.667,27.866,30.087,38.972,36.573
Palmeiras do Tocantins (TO),56.546,53.348,58.073,66.647,64.569
Muricilândia (TO),31.596,35.035,38.245,41.399,43.100
Natividade (TO),112.952,109.595,121.955,124.821,116.917
Nazaré (TO),36.246,39.152,43.100,45.338,45.013
Nova Olinda (TO),216.544,219.929,253.617,259.523,282.734
Nova Rosalândia (TO),30.301,38.696,40.683,49.939,49.384
Novo Acordo (TO),32.819,37.529,40.814,42.275,46.483
Novo Alegre (TO),20.958,21.607,23.634,26.527,27.054
Novo Jardim (TO),26.038,26.960,26.534,29.159,28.933
Oliveira de Fátima (TO),17.283,18.136,18.408,18.501,19.655
Palmeirante (TO),60.370,69.504,74.792,77.747,81.984
Palmeirópolis (TO),85.374,92.595,104.183,111.851,114.168
Paraíso do Tocantins (TO),841.620,902.190,1.011.003,1.221.528,1.237.455
Paranã (TO),255.093,172.785,195.055,193.913,214.242
Pau D'Arco (TO),48.368,50.441,55.419,60.717,75.161
Pedro Afonso (TO),420.242,691.776,586.469,609.813,672.379
Peixe (TO),511.246,389.475,545.343,512.102,540.632
Pequizeiro (TO),49.021,56.681,70.727,73.133,75.486
Colméia (TO),96.698,101.468,109.809,132.725,145.267
Pindorama do Tocantins (TO),38.520,41.958,44.280,48.551,48.958
Piraquê (TO),34.205,39.985,46.092,49.329,45.451
Pium (TO),80.496,99.345,115.757,150.980,140.566
Ponte Alta do Bom Jesus (TO),34.672,35.812,40.987,45.973,45.255
Ponte Alta do Tocantins (TO),59.151,65.874,68.534,76.131,79.547
Porto Alegre do Tocantins (TO),22.536,24.470,27.128,29.803,29.027
Porto Nacional (TO),923.421,1.118.548,1.372.034,1.528.242,1.851.639
Praia Norte (TO),52.995,55.103,59.264,63.806,68.762
Presidente Kennedy (TO),72.122,41.814,45.711,50.389,51.416
Pugmil (TO),38.344,49.120,44.426,53.839,50.651
Recursolândia (TO),30.677,32.904,38.136,41.728,41.157
Riachinho (TO),36.388,37.748,40.528,44.173,45.192
Rio da Conceição (TO),15.267,16.901,16.807,18.055,19.034
Rio dos Bois (TO),27.165,41.325,37.085,36.742,44.369
Rio Sono (TO),46.332,49.708,53.285,59.488,61.639
Sampaio (TO),27.399,28.599,31.457,35.342,37.328
Sandolândia (TO),47.504,52.197,60.076,67.607,69.821
Santa Fé do Araguaia (TO),77.117,85.252,91.519,114.983,114.858
Santa Maria do Tocantins (TO),32.539,36.471,45.500,44.226,40.216
Santa Rita do Tocantins (TO),32.596,41.867,46.003,49.724,85.461
Santa Rosa do Tocantins (TO),76.075,93.431,109.430,87.265,146.869
Santa Tereza do Tocantins (TO),22.415,23.102,24.716,27.732,32.280
Santa Terezinha do Tocantins (TO),22.676,25.455,26.833,31.571,30.733
São Bento do Tocantins (TO),34.669,38.508,43.047,48.259,49.687
São Félix do Tocantins (TO),14.055,14.151,15.009,17.951,18.482
São Miguel do Tocantins (TO),69.378,74.569,81.610,97.206,102.465
São Salvador do Tocantins (TO),25.810,26.710,28.872,32.548,33.926
