Município,2013,2014,2015,2016,2017
Florianópolis (SC),14.974.993,16.915.926,17.619.984,18.660.876,19.516.694
Formosa do Sul (SC),44.559,48.785,43.902,51.673,49.744
Forquilhinha (SC),527.713,739.261,745.908,714.769,813.485
Fraiburgo (SC),825.667,799.595,869.131,952.107,907.570
Frei Rogério (SC),54.025,42.618,52.487,60.956,67.307
Galvão (SC),106.757,61.503,67.075,80.375,66.674
Garopaba (SC),346.584,405.903,439.795,478.206,534.237
Garuva (SC),549.508,733.700,664.964,663.048,912.747
Gaspar (SC),1.830.763,2.508.454,2.381.770,2.444.847,2.824.158
Governador Celso Ramos (SC),182.345,214.876,243.065,267.761,296.409
Grão-Pará (SC),150.128,183.992,184.904,197.913,227.778
Gravatal (SC),137.243,146.659,189.466,203.118,224.293
Guabiruba (SC),780.902,969.405,872.837,816.352,902.724
Guaraciaba (SC),254.118,231.183,239.306,276.994,287.359
Guaramirim (SC),1.296.423,1.538.532,1.472.352,1.465.631,1.541.865
Guarujá do Sul (SC),108.954,132.253,129.889,148.611,150.699
Guatambú (SC),388.628,199.530,241.441,241.884,244.350
Herval d'Oeste (SC),378.803,445.889,410.797,393.952,430.260
Ibiam (SC),52.552,40.293,42.024,47.560,47.326
Ibicaré (SC),72.030,78.314,80.617,94.381,96.940
Ibirama (SC),344.582,378.617,379.668,387.870,421.610
Içara (SC),1.540.550,1.832.170,1.827.679,1.890.768,2.102.972
Ilhota (SC),356.094,449.310,462.779,632.582,683.687
Imaruí (SC),151.886,157.060,163.863,173.628,181.532
Imbituba (SC),989.630,1.074.231,1.178.408,1.369.594,1.548.283
Imbuia (SC),113.767,113.727,117.463,133.387,123.586
Indaial (SC),1.834.322,2.288.292,2.219.339,2.321.940,2.500.546
Iomerê (SC),96.230,96.019,92.778,96.916,127.194
Ipira (SC),65.819,75.235,74.264,81.058,84.447
Iporã do Oeste (SC),177.918,208.974,213.006,243.256,256.043
Ipuaçu (SC),297.052,182.541,227.992,232.908,223.156
Ipumirim (SC),210.856,304.183,306.612,309.827,313.269
Iraceminha (SC),81.686,84.883,87.971,97.004,95.684
Irani (SC),180.512,194.846,190.921,196.138,210.934
Irati (SC),44.768,32.570,32.948,39.324,34.946
Irineópolis (SC),266.232,286.181,281.634,324.905,299.113
Itá (SC),175.333,211.519,210.697,220.125,240.150
Itaiópolis (SC),530.724,666.254,649.004,677.198,704.122
Itajaí (SC),15.485.921,18.072.445,18.708.229,19.288.428,21.932.201
Itapema (SC),1.155.218,1.352.819,1.476.770,1.581.139,1.698.461
Itapiranga (SC),590.528,670.279,784.744,727.686,753.937
Itapoá (SC),632.481,456.045,547.473,617.185,714.775
Ituporanga (SC),592.436,703.408,702.224,781.570,831.857
Jaborá (SC),101.755,120.123,116.183,123.628,141.481
Jacinto Machado (SC),272.987,254.621,256.440,289.946,322.630
Jaguaruna (SC),304.927,360.337,401.205,456.298,473.335
Jaraguá do Sul (SC),7.782.911,7.055.656,7.916.277,7.768.568,8.523.055
Jardinópolis (SC),38.526,30.703,32.062,45.527,37.699
Joaçaba (SC),1.156.722,1.419.826,1.470.374,1.488.682,1.577.136
Joinville (SC),22.049.703,25.136.137,26.552.124,25.236.074,27.388.124
José Boiteux (SC),80.305,81.175,88.012,98.297,108.764
Jupiá (SC),44.110,42.959,44.650,53.192,52.781
Lacerdópolis (SC),109.678,80.256,82.188,88.769,93.047
Lages (SC),3.595.196,4.379.587,4.746.496,4.749.124,5.075.586
Laguna (SC),668.180,748.636,757.678,784.302,841.742
Lajeado Grande (SC),91.100,41.947,35.116,38.098,39.369
Laurentino (SC),165.060,214.231,218.288,252.520,257.563
Lauro Müller (SC),237.245,263.646,278.882,324.999,355.274
Lebon Régis (SC),181.963,193.065,216.200,248.571,223.593
Leoberto Leal (SC),72.564,72.191,68.718,78.299,93.076
Lindóia do Sul (SC),110.011,145.483,154.728,130.153,109.275
Lontras (SC),203.324,232.101,234.860,268.475,314.283
Luiz Alves (SC),406.347,479.092,482.012,538.355,575.787
Luzerna (SC),145.242,183.468,150.951,155.687,158.733
Macieira (SC),45.725,41.470,41.390,56.743,43.147
Mafra (SC),1.254.306,1.444.661,1.356.313,1.447.452,1.660.261
Major Gercino (SC),35.019,41.894,41.576,46.315,46.447
Major Vieira (SC),155.860,185.159,173.020,185.939,185.874
Maracajá (SC),158.260,169.528,168.241,170.124,181.051
Maravilha (SC),862.932,882.541,863.128,960.799,1.055.389
Marema (SC),103.746,58.497,57.508,60.091,60.465
Massaranduba (SC),400.563,507.766,510.937,510.609,579.640
Matos Costa (SC),31.959,36.161,36.734,45.871,48.419
Meleiro (SC),146.701,194.175,203.187,226.210,242.069
Mirim Doce (SC),51.865,46.820,48.111,49.677,55.134
Modelo (SC),128.214,90.762,95.556,112.414,108.068
Mondaí (SC),415.833,537.625,491.167,517.119,581.366
Monte Carlo (SC),156.632,136.727,147.953,160.076,137.059
Monte Castelo (SC),152.819,178.008,174.366,164.595,158.882
Morro da Fumaça (SC),514.468,605.329,609.470,592.134,635.539
Morro Grande (SC),92.853,169.260,171.921,176.243,133.371
Navegantes (SC),2.711.377,3.292.421,3.258.291,3.287.283,4.108.477
Nova Erechim (SC),135.042,134.631,135.388,161.168,154.516
Nova Itaberaba (SC),138.656,97.412,98.889,107.925,104.949
Nova Trento (SC),388.390,468.000,479.664,508.094,523.649
Nova Veneza (SC),471.296,632.706,640.971,728.262,716.229
Novo Horizonte (SC),68.808,76.126,75.372,86.601,81.119
Orleans (SC),863.829,835.089,833.869,845.354,972.736
Otacílio Costa (SC),540.928,554.071,621.610,643.087,695.720
Ouro (SC),119.382,135.537,139.204,149.796,159.749
Ouro Verde (SC),84.813,69.212,68.587,87.367,86.255
Paial (SC),74.155,30.108,31.551,36.125,38.921
Painel (SC),40.403,40.870,44.323,58.011,57.573
Palhoça (SC),3.990.380,4.694.889,5.104.686,4.375.512,4.834.031
Palma Sola (SC),234.035,187.567,174.702,219.711,201.937
Palmeira (SC),83.685,72.131,95.126,101.943,106.429
Palmitos (SC),547.052,511.739,501.812,543.968,575.112
Papanduva (SC),827.142,451.506,444.032,485.294,543.672
Paraíso (SC),128.955,80.658,78.748,91.895,88.845
Passo de Torres (SC),75.292,93.660,126.100,123.272,140.034
Passos Maia (SC),98.779,98.577,107.380,123.801,136.167
Paulo Lopes (SC),175.388,196.748,166.877,173.173,181.155
Pedras Grandes (SC),85.093,106.381,111.493,133.547,138.811
Penha (SC),452.574,521.145,593.903,625.841,673.741
Peritiba (SC),60.577,73.455,71.839,80.987,83.670
Pescaria Brava (SC),44.993,65.824,80.053,82.657,92.403
Petrolândia (SC),162.824,133.835,139.087,163.443,167.194
Balneário Piçarras (SC),449.503,511.936,511.354,594.627,841.169
Pinhalzinho (SC),848.487,876.975,852.945,941.667,1.019.819
Pinheiro Preto (SC),97.049,129.648,135.817,149.761,165.772
Piratuba (SC),474.689,512.852,718.591,761.259,653.928
Planalto Alegre (SC),105.150,55.732,56.450,54.974,88.616
Pomerode (SC),1.460.079,2.149.149,1.708.490,1.712.404,1.919.219
Ponte Alta (SC),77.994,107.711,93.544,104.402,109.888
Ponte Alta do Norte (SC),95.620,81.083,74.609,79.706,110.204
Ponte Serrada (SC),245.046,210.410,206.329,218.211,225.478
Porto Belo (SC),735.350,831.065,878.272,884.186,945.196
Porto União (SC),507.225,575.418,574.461,611.652,703.090
Pouso Redondo (SC),404.286,483.465,435.331,490.796,520.724
Praia Grande (SC),114.635,128.769,129.246,140.106,155.814
Presidente Castello Branco (SC),36.485,42.486,43.463,47.984,45.855
Presidente Getúlio (SC),357.778,493.962,491.715,512.337,625.811
Presidente Nereu (SC),42.621,45.066,44.774,53.222,55.113
Princesa (SC),53.005,57.682,52.504,66.162,66.929
Quilombo (SC),454.934,331.593,338.346,356.785,347.609
Rancho Queimado (SC),91.740,92.018,102.235,107.407,102.976
Rio das Antas (SC),123.850,149.217,145.211,173.948,176.864
Rio do Campo (SC),129.978,138.501,137.503,145.614,162.920
Rio do Oeste (SC),156.435,173.004,166.332,196.290,194.685
Rio dos Cedros (SC),219.963,251.337,258.773,276.834,310.346
Rio do Sul (SC),2.076.656,2.502.192,2.305.880,2.269.859,2.572.166
Rio Fortuna (SC),212.815,236.880,229.424,230.650,237.809
Rio Negrinho (SC),869.022,971.603,986.804,997.978,1.092.653
Rio Rufino (SC),39.432,37.586,41.445,50.194,50.133
Riqueza (SC),69.197,87.297,84.656,91.140,99.925
Rodeio (SC),232.647,284.532,248.128,259.407,273.991
Romelândia (SC),119.907,78.406,72.057,80.286,82.298
Salete (SC),131.622,166.658,160.172,165.733,180.699
Saltinho (SC),60.304,55.491,58.471,67.082,71.691
Salto Veloso (SC),112.114,163.560,186.638,177.397,171.636
Sangão (SC),223.246,233.719,249.050,249.404,280.615
Santa Cecília (SC),307.269,351.766,362.796,375.231,419.310
Santa Helena (SC),47.868,56.748,53.881,65.999,64.421
Santa Rosa de Lima (SC),39.068,44.702,48.547,47.268,48.274
Santa Rosa do Sul (SC),106.114,113.630,112.838,129.201,138.941
Santa Terezinha (SC),164.157,179.002,162.945,188.062,192.740
Santa Terezinha do Progresso (SC),37.492,40.080,41.401,46.818,49.384
Santiago do Sul (SC),40.774,27.792,29.932,32.111,32.321
Santo Amaro da Imperatriz (SC),587.585,643.748,656.336,745.983,753.919
São Bernardino (SC),53.266,49.000,49.929,58.747,57.875
São Bento do Sul (SC),2.690.098,3.129.774,2.828.572,2.652.536,2.994.813
São Bonifácio (SC),46.081,50.859,50.099,55.552,61.837
São Carlos (SC),283.377,265.725,268.754,294.553,340.075
São Cristóvão do Sul (SC),107.767,112.662,115.524,120.724,147.729
São Domingos (SC),290.966,247.676,280.101,326.513,309.648
São Francisco do Sul (SC),3.279.382,3.566.016,3.673.351,3.589.664,3.996.444
São João do Oeste (SC),151.128,180.312,176.409,203.105,213.294
São João Batista (SC),550.950,690.230,688.817,753.071,860.361
São João do Itaperiú (SC),79.394,131.208,136.165,148.741,169.132
São João do Sul (SC),107.977,129.394,137.588,158.620,188.924
São Joaquim (SC),500.245,672.561,669.567,880.563,858.627
São José (SC),7.661.755,8.720.751,9.102.994,9.885.438,10.136.637
São José do Cedro (SC),332.575,319.665,323.367,386.051,389.556
São José do Cerrito (SC),238.407,229.292,198.893,282.673,228.025
São Lourenço do Oeste (SC),708.564,762.481,739.851,806.591,839.371
São Ludgero (SC),558.072,583.232,596.578,588.318,582.934
São Martinho (SC),63.676,70.528,68.371,76.439,75.107
São Miguel da Boa Vista (SC),27.243,30.576,29.729,34.732,34.044
São Miguel do Oeste (SC),1.286.907,1.292.020,1.276.724,1.356.167,1.449.729
São Pedro de Alcântara (SC),52.532,57.105,68.110,73.637,71.309
Saudades (SC),270.974,248.761,267.731,282.392,324.687
Schroeder (SC),390.322,425.796,392.659,424.300,483.796
Seara (SC),534.296,736.786,756.415,756.694,812.914
Serra Alta (SC),109.336,89.136,100.351,109.147,77.388
Siderópolis (SC),416.706,477.141,503.539,407.227,458.519
Sombrio (SC),526.866,589.342,615.206,675.326,752.082
Sul Brasil (SC),85.061,59.862,74.191,82.098,51.487
Taió (SC),413.939,479.103,493.009,525.022,573.679
Tangará (SC),292.343,348.965,355.579,394.760,411.972
Tigrinhos (SC),29.125,30.171,32.105,36.463,37.668
Tijucas (SC),1.188.294,1.359.737,1.400.274,1.391.976,1.467.125
Timbé do Sul (SC),85.232,90.985,90.815,108.889,115.360
Timbó (SC),1.379.036,1.745.717,1.598.015,1.701.695,1.832.567
Timbó Grande (SC),142.164,156.635,171.693,169.886,187.298
Três Barras (SC),684.588,889.663,833.138,906.489,1.043.119
Treviso (SC),243.688,223.315,254.367,218.283,215.595
Treze de Maio (SC),111.235,113.165,125.474,142.827,143.734
Treze Tílias (SC),337.486,533.597,475.913,547.182,614.882
Trombudo Central (SC),214.704,257.458,212.758,222.096,232.396
Tubarão (SC),2.791.737,3.317.474,3.237.605,3.405.754,3.516.205
Tunápolis (SC),90.272,99.683,99.725,113.142,119.102
Turvo (SC),336.794,462.459,457.174,495.431,518.351
União do Oeste (SC),105.940,50.152,51.961,56.905,60.672
Urubici (SC),209.064,208.630,219.599,260.336,232.356
Urupema (SC),42.607,51.617,49.491,66.077,68.707
Urussanga (SC),613.146,760.681,737.694,739.257,794.659
Vargeão (SC),294.680,112.766,112.413,115.016,133.069
Vargem (SC),47.188,110.495,111.498,58.995,59.496
Vargem Bonita (SC),253.574,315.448,326.300,338.265,383.954
Vidal Ramos (SC),211.484,229.270,242.840,244.271,262.230
Videira (SC),1.654.509,2.052.274,2.055.978,2.145.344,2.230.367
Vitor Meireles (SC),83.635,92.505,94.528,102.761,117.876
Witmarsum (SC),84.680,95.821,95.989,108.866,120.886
Xanxerê (SC),1.319.706,1.477.791,1.458.213,1.530.245,1.604.050
Xavantina (SC),112.956,141.825,171.770,185.724,183.022
Xaxim (SC),778.414,779.071,812.945,845.678,927.592
Zortéa (SC),52.345,59.501,61.737,66.969,69.089
Balneário Rincão (SC),129.061,152.996,164.469,217.335,212.953
Aceguá (RS),181.677,211.646,240.529,256.121,265.550
Água Santa (RS),244.117,229.993,264.842,268.727,278.780
Agudo (RS),355.290,430.513,428.992,441.246,495.479
Ajuricaba (RS),203.096,198.580,238.219,263.419,259.932
Alecrim (RS),85.232,88.732,93.963,102.414,106.532
Alegrete (RS),1.515.947,1.669.822,1.820.084,1.902.736,2.015.503
Alegria (RS),74.894,83.185,92.561,111.452,100.027
Almirante Tamandaré do Sul (RS),105.156,104.373,121.316,139.385,130.337
Alpestre (RS),110.526,121.540,535.451,448.174,530.638
Alto Alegre (RS),57.987,54.313,56.724,66.575,62.759
Alto Feliz (RS),58.404,64.984,76.818,81.092,86.839
Alvorada (RS),1.999.570,2.187.913,2.340.767,2.609.696,2.490.757
Amaral Ferrador (RS),82.321,74.831,86.311,111.408,101.295
Ametista do Sul (RS),72.640,78.807,87.095,91.004,105.509
André da Rocha (RS),100.511,107.459,106.131,123.770,102.114
Anta Gorda (RS),147.365,169.041,175.297,191.676,208.157
Antônio Prado (RS),371.377,427.743,481.164,520.501,549.508
Arambaré (RS),103.270,115.153,130.062,135.154,139.621
Araricá (RS),122.352,151.911,143.316,147.193,141.834
Aratiba (RS),879.474,606.188,928.129,955.864,879.723
Arroio do Meio (RS),835.479,890.386,938.774,1.047.951,1.090.730
Arroio do Sal (RS),152.520,164.508,184.005,202.744,229.881
Arroio do Padre (RS),40.247,48.609,44.520,51.251,58.752
Arroio dos Ratos (RS),173.981,196.527,227.103,231.626,235.707
Arroio do Tigre (RS),294.149,292.379,298.448,312.584,335.583
Arroio Grande (RS),438.724,450.027,508.770,509.073,603.210
Arvorezinha (RS),181.742,208.969,224.150,247.517,256.779
Augusto Pestana (RS),239.473,238.215,261.276,297.487,305.653
Áurea (RS),68.670,88.715,89.588,104.342,98.348
Bagé (RS),2.065.956,2.231.476,2.564.035,2.846.230,2.840.943
Balneário Pinhal (RS),151.872,166.007,186.622,204.750,205.318
Barão (RS),194.036,203.822,190.646,170.393,186.359
Barão de Cotegipe (RS),145.215,171.210,167.810,196.625,208.462
Barão do Triunfo (RS),92.530,97.095,97.183,113.324,114.495
Barracão (RS),146.184,148.430,170.660,213.786,187.339
Barra do Guarita (RS),34.461,37.695,38.176,41.450,41.085
Barra do Quaraí (RS),133.991,157.716,184.240,175.607,201.992
Barra do Ribeiro (RS),220.109,261.260,295.387,316.523,319.092
Barra do Rio Azul (RS),37.631,42.673,42.201,51.573,46.615
Barra Funda (RS),96.422,105.759,104.510,116.485,119.224
Barros Cassal (RS),143.085,157.510,160.696,183.436,194.243
Benjamin Constant do Sul (RS),23.691,25.997,27.114,31.486,30.682
Bento Gonçalves (RS),4.752.627,5.337.671,5.254.621,5.151.925,5.548.630
Boa Vista das Missões (RS),116.883,109.983,120.502,137.833,114.865
Boa Vista do Buricá (RS),149.047,163.912,169.762,187.789,199.620
Boa Vista do Cadeado (RS),178.592,173.899,180.895,239.873,217.660
Boa Vista do Incra (RS),141.669,122.675,141.977,181.166,157.093
Boa Vista do Sul (RS),57.537,67.101,71.460,71.446,72.506
Bom Jesus (RS),251.490,267.074,283.276,336.822,300.326
Bom Princípio (RS),370.920,433.351,485.359,513.380,551.039
Bom Progresso (RS),45.545,47.626,48.655,56.201,51.887
Bom Retiro do Sul (RS),199.563,208.718,232.700,251.230,270.481
Boqueirão do Leão (RS),101.671,109.819,102.272,114.935,132.986
Bossoroca (RS),219.263,221.605,239.136,294.653,272.262
Bozano (RS),71.828,73.891,95.320,109.118,104.964
Braga (RS),70.483,71.365,72.415,79.568,79.276
Brochier (RS),68.687,75.969,80.986,79.589,85.835
Butiá (RS),329.253,372.858,408.597,428.011,431.541
Caçapava do Sul (RS),626.789,665.129,725.205,783.552,811.817
Cacequi (RS),253.371,281.478,310.651,307.957,323.301
Cachoeira do Sul (RS),1.828.074,2.048.546,2.123.531,2.277.151,2.318.936
Cachoeirinha (RS),5.672.015,6.174.730,5.983.149,5.025.165,5.107.333
Cacique Doble (RS),74.535,84.775,86.848,102.105,96.044
Caibaté (RS),131.287,132.552,138.046,168.746,158.178
Caiçara (RS),80.872,88.804,82.721,97.985,97.808
Camaquã (RS),1.484.685,1.651.833,1.718.679,1.916.778,2.019.774
Camargo (RS),137.778,144.572,157.346,168.426,170.427
Cambará do Sul (RS),109.482,120.569,131.091,141.911,150.149
Campestre da Serra (RS),94.164,108.118,127.512,145.230,152.585
Campina das Missões (RS),103.147,107.704,122.474,145.492,147.060
Campinas do Sul (RS),178.375,173.159,177.374,207.031,197.137
Campo Bom (RS),2.170.712,2.334.483,2.600.322,2.776.636,2.929.536
Campo Novo (RS),148.274,159.218,177.068,194.964,193.008
Campos Borges (RS),77.385,73.770,82.518,90.577,86.868
Candelária (RS),566.127,599.563,667.032,670.957,806.121
Cândido Godói (RS),164.765,186.074,187.186,217.678,219.863
Candiota (RS),116.696,201.722,267.847,464.576,512.374
Canela (RS),721.651,810.681,905.583,955.346,1.035.993
Canguçu (RS),782.775,892.413,946.229,1.080.936,1.145.771
Canoas (RS),11.219.230,9.986.300,16.245.261,20.133.836,18.883.627
Canudos do Vale (RS),36.473,40.966,40.124,43.872,42.896
Capão Bonito do Sul (RS),107.376,110.320,116.552,137.898,152.236
Capão da Canoa (RS),953.133,1.068.041,1.199.499,1.363.924,1.373.552
Capão do Cipó (RS),236.049,240.983,242.863,265.036,243.149
Capão do Leão (RS),372.841,414.972,521.325,498.462,526.626
Capivari do Sul (RS),177.997,184.751,201.398,224.582,218.971
Capela de Santana (RS),152.442,165.558,179.859,197.305,195.153
Capitão (RS),54.476,59.321,60.158,60.454,68.803
Carazinho (RS),1.830.412,2.163.639,2.494.788,2.723.341,2.668.793
Caraá (RS),78.236,85.128,89.690,99.147,100.468
Carlos Barbosa (RS),1.462.810,1.743.656,1.842.227,2.028.628,2.181.701
Carlos Gomes (RS),29.531,30.385,30.546,36.657,33.524
Casca (RS),314.267,344.287,370.937,408.520,415.055
Caseiros (RS),84.808,91.819,103.830,115.304,121.343
Catuípe (RS),267.028,259.373,302.139,350.768,330.437
Caxias do Sul (RS),21.396.940,22.421.400,20.633.382,20.069.797,21.811.857
Centenário (RS),50.107,55.109,62.154,73.359,68.802
Cerrito (RS),74.879,78.760,87.327,89.236,94.960
Cerro Branco (RS),62.393,66.429,67.587,66.325,77.509
Cerro Grande (RS),42.993,40.892,46.606,51.558,50.991
Cerro Grande do Sul (RS),133.276,142.351,151.710,169.884,168.380
Cerro Largo (RS),590.002,572.254,583.510,626.561,656.218
Chapada (RS),347.238,359.497,394.318,435.319,433.601
Charqueadas (RS),1.011.898,1.069.469,1.101.315,1.035.381,1.115.156
Charrua (RS),71.448,68.066,70.925,80.134,74.293
Chiapetta (RS),163.532,163.178,180.344,190.457,186.966
Chuí (RS),131.998,152.912,196.370,217.507,230.138
Chuvisca (RS),97.093,102.043,95.609,117.452,103.454
Cidreira (RS),198.968,219.506,241.318,266.590,260.813
Ciríaco (RS),115.832,112.695,115.403,131.087,127.802
Colinas (RS),59.772,64.936,65.983,66.668,61.159
Colorado (RS),150.893,131.151,155.613,182.365,175.343
Condor (RS),253.672,261.732,304.988,327.581,318.295
Constantina (RS),223.111,235.113,244.548,268.806,274.345
Coqueiro Baixo (RS),28.845,28.390,32.841,33.028,32.979
Coqueiros do Sul (RS),79.429,86.317,92.274,107.595,102.518
Coronel Barros (RS),85.468,77.498,94.426,109.071,104.719
Coronel Bicaco (RS),219.544,228.473,246.526,306.912,265.176
Coronel Pilar (RS),32.713,34.647,35.419,34.852,38.697
Cotiporã (RS),74.604,88.841,131.138,125.029,146.542
Coxilha (RS),164.859,159.704,181.578,208.414,204.226
Crissiumal (RS),249.823,268.286,292.273,320.188,332.670
Cristal (RS),137.586,151.949,164.580,166.550,202.597
Cristal do Sul (RS),45.576,47.886,51.779,56.438,50.783
Cruz Alta (RS),2.662.761,2.678.502,3.001.548,3.160.654,3.394.711
Cruzaltense (RS),60.104,53.417,62.418,74.165,71.907
Cruzeiro do Sul (RS),263.555,283.030,301.002,326.837,344.258
David Canabarro (RS),107.209,119.065,116.502,128.720,123.621
Derrubadas (RS),72.139,71.079,70.803,77.764,77.266
Dezesseis de Novembro (RS),29.554,32.122,34.313,39.385,37.352
Dilermando de Aguiar (RS),89.982,91.836,105.123,123.551,110.634
Dois Irmãos (RS),1.323.858,1.495.877,1.539.788,1.677.320,1.806.678
Dois Irmãos das Missões (RS),89.843,83.889,93.688,111.609,106.260
Dois Lajeados (RS),72.382,78.355,84.877,88.811,92.504
Dom Feliciano (RS),183.586,199.481,224.649,230.132,253.149
Dom Pedro de Alcântara (RS),46.071,46.985,46.787,52.681,53.699
Dom Pedrito (RS),983.225,1.035.039,1.180.775,1.235.611,1.343.428
Dona Francisca (RS),60.857,66.062,66.209,67.237,72.198
Doutor Maurício Cardoso (RS),146.178,183.612,167.406,186.618,176.654
Doutor Ricardo (RS),46.488,52.787,56.581,52.522,50.566
Eldorado do Sul (RS),960.838,1.197.276,1.278.482,1.477.422,1.585.866
Encantado (RS),611.211,678.899,737.390,795.468,830.217
Encruzilhada do Sul (RS),328.497,396.548,448.594,572.999,525.828
Engenho Velho (RS),40.637,41.669,49.961,53.130,49.237
Entre-Ijuís (RS),262.859,261.724,281.460,360.663,347.282
Entre Rios do Sul (RS),258.026,110.537,153.901,195.299,196.638
Erebango (RS),75.753,79.944,86.332,106.592,96.570
Erechim (RS),4.067.166,4.096.603,4.262.267,4.399.222,4.456.712
Ernestina (RS),107.391,111.313,135.461,153.710,131.689
Herval (RS),85.036,99.022,101.252,118.811,137.327
Erval Grande (RS),66.455,90.010,84.181,91.137,89.904
Erval Seco (RS),194.012,194.145,213.769,246.361,238.459
Esmeralda (RS),132.229,151.843,165.484,203.358,180.515
Esperança do Sul (RS),57.533,57.883,60.311,68.322,67.536
Espumoso (RS),569.888,550.368,606.733,666.541,682.297
Estação (RS),188.134,203.510,216.547,255.387,330.675
Estância Velha (RS),1.150.481,1.299.313,1.337.684,1.325.101,1.334.293
Esteio (RS),2.715.260,2.930.040,3.115.215,3.373.536,3.001.354
Estrela (RS),1.202.855,1.226.801,1.163.126,1.359.403,1.419.197
Estrela Velha (RS),118.238,123.123,106.074,116.772,128.824
Eugênio de Castro (RS),163.136,139.269,149.103,196.069,172.779
Fagundes Varela (RS),61.026,67.749,71.816,77.101,79.243
Farroupilha (RS),2.430.377,2.733.336,2.821.296,3.054.450,3.208.933
Faxinal do Soturno (RS),148.460,141.775,156.965,172.458,191.119
Faxinalzinho (RS),51.423,50.226,52.934,65.212,57.124
Fazenda Vilanova (RS),102.756,103.850,115.941,119.825,120.402
Feliz (RS),313.965,353.059,359.599,386.876,391.709
Flores da Cunha (RS),1.103.897,1.253.126,1.299.362,1.313.953,1.486.989
Floriano Peixoto (RS),43.242,50.113,50.905,53.294,49.524
Fontoura Xavier (RS),143.752,160.282,162.089,181.012,182.076
Formigueiro (RS),133.166,145.054,173.094,170.113,182.346
Forquetinha (RS),37.005,40.421,40.224,42.023,41.306
Fortaleza dos Valos (RS),224.966,244.393,243.247,276.735,249.751
Frederico Westphalen (RS),793.111,871.106,926.893,1.020.627,1.092.250
Garibaldi (RS),1.457.788,1.647.229,1.693.058,1.736.797,1.836.582
Garruchos (RS),98.060,91.642,106.395,117.721,103.207
Gaurama (RS),160.179,165.195,186.892,216.485,217.129
General Câmara (RS),127.088,126.616,138.627,147.806,148.929
Gentil (RS),88.752,88.191,95.759,114.236,102.408
Getúlio Vargas (RS),408.544,445.219,457.497,494.417,513.078
Giruá (RS),555.784,571.528,612.031,705.589,678.446
Glorinha (RS),357.625,321.187,358.316,335.996,327.548
Gramado (RS),1.344.590,1.509.956,1.651.043,1.655.187,1.834.204
Gramado dos Loureiros (RS),40.499,41.668,43.621,44.779,43.558
Gramado Xavier (RS),60.594,72.105,65.888,75.069,82.375
Gravataí (RS),10.192.685,10.892.311,9.731.352,10.121.618,12.314.666
Guabiju (RS),46.645,58.489,69.243,72.955,67.922
Guaíba (RS),4.170.836,5.104.251,5.345.985,5.944.686,5.567.587
Guaporé (RS),595.355,692.268,744.772,768.984,818.670
Guarani das Missões (RS),239.458,242.252,251.331,306.591,287.151
Harmonia (RS),99.042,118.066,131.602,153.789,172.274
Herveiras (RS),51.841,49.233,53.224,53.721,63.043
Horizontina (RS),1.619.686,1.987.507,1.198.382,1.305.166,1.505.773
Hulha Negra (RS),123.370,124.125,143.758,168.956,174.142
Humaitá (RS),120.408,130.154,131.242,135.128,140.134
Ibarama (RS),69.188,70.366,72.659,80.802,91.388
Ibiaçá (RS),177.743,159.300,178.156,199.143,196.244
Ibiraiaras (RS),203.426,217.778,249.001,265.025,238.532
Ibirapuitã (RS),93.924,85.124,99.064,111.720,96.537
Ibirubá (RS),926.584,974.172,876.527,969.343,927.942
Igrejinha (RS),1.326.812,1.459.074,1.506.435,1.485.951,1.655.950
Ijuí (RS),2.526.316,2.577.030,2.830.181,3.096.633,3.165.854
Ilópolis (RS),94.422,108.438,108.519,118.061,111.181
Imbé (RS),332.309,372.439,418.127,456.862,437.014
Imigrante (RS),167.613,218.666,173.060,175.555,199.153
Independência (RS),172.517,188.155,208.283,249.012,241.283
Inhacorá (RS),49.596,48.098,51.200,59.604,62.559
Ipê (RS),159.146,166.295,200.683,218.733,196.423
Ipiranga do Sul (RS),77.715,79.867,81.007,92.154,87.716
Iraí (RS),124.623,135.734,142.515,157.474,175.468
Itaara (RS),75.518,79.185,82.269,86.267,90.706
Itacurubi (RS),68.284,63.542,80.694,96.233,87.724
Itapuca (RS),43.075,45.953,45.412,50.112,53.829
Itaqui (RS),1.008.580,1.083.660,1.160.852,1.206.402,1.335.037
Itati (RS),56.895,56.668,65.946,80.236,59.350
Itatiba do Sul (RS),48.901,56.723,56.177,62.238,61.874
Ivorá (RS),43.458,44.043,47.317,49.933,48.603
Ivoti (RS),715.295,792.082,880.295,910.149,917.702
Jaboticaba (RS),72.457,75.316,85.141,94.151,86.316
Jacuizinho (RS),82.206,77.426,86.270,104.151,98.413
Jacutinga (RS),124.332,114.841,125.133,119.104,114.302
Jaguarão (RS),521.330,585.492,600.880,645.250,709.334
Jaguari (RS),196.243,189.861,222.281,230.031,244.561
Jaquirana (RS),54.777,59.703,61.599,68.589,67.557
Jari (RS),153.754,140.494,164.777,188.574,176.731
Jóia (RS),363.215,342.843,370.091,415.383,406.039
Júlio de Castilhos (RS),809.657,854.916,987.126,1.053.406,1.041.112
Lagoa Bonita do Sul (RS),49.195,50.203,53.631,51.916,59.971
Lagoão (RS),84.856,83.423,89.392,94.435,105.806
Lagoa dos Três Cantos (RS),70.343,62.839,72.563,86.605,76.760
