UF,Municipio,Regiao,PIB,Ano
MT,Alto Paraguai,Centro-Oeste,136.202,2020
CE,Moraújo,Nordeste,,2021
PI,Aroazes,Nordeste,55.295,2020
MG,Rio Espera,Sudeste,53.939,2020
BA,Ubaíra,Nordeste,249.504,2020
BA,Pilão Arcado,Nordeste,,2021
SP,Rubinéia,Sudeste,88.399,2020
PA,Alenquer,Norte,,2021
SC,Brunópolis,Sul,,2021
PI,Pau DArco do Piauí,Nordeste,,2021
MG,Caiana,Sudeste,113.233,2020
MG,Santana do Garambéu,Sudeste,35.301,2020
PB,Juarez Távora,Nordeste,71.126,2020
PE,São Joaquim do Monte,Nordeste,175.782,2020
CE,Deputado Irapuan Pinheiro,Nordeste,87.975,2020
MA,Apicum-Açu,Nordeste,122.394,2020
MS,Guia Lopes da Laguna,Centro-Oeste,,2021
MG,Engenheiro Navarro,Sudeste,,2021
RS,Unistalda,Sul,,2021
SE,Santana do São Francisco,Nordeste,90.382,2020
PR,Palmital,Sul,,2021
AL,Água Branca,Nordeste,166.660,2020
SC,Xavantina,Sul,175.583,2020
MA,Apicum-Açu,Nordeste,,2021
SP,Rubinéia,Sudeste,,2021
MS,Alcinópolis,Centro-Oeste,240.730,2020
PB,Monteiro,Nordeste,,2021
RS,Lavras do Sul,Sul,,2021
SC,Brunópolis,Sul,95.763,2020
GO,Ivolândia,Centro-Oeste,134.232,2020
BA,Lagoa Real,Nordeste,106.599,2020
MG,Periquito,Sudeste,,2021
TO,Colméia,Norte,168.076,2020
PB,Cacimbas,Nordeste,,2021
MG,Carrancas,Sudeste,112.202,2020
RN,Serra de São Bento,Nordeste,,2021
PI,Madeiro,Nordeste,,2021
TO,Rio da Conceição,Norte,,2021
MG,Miravânia,Sudeste,,2021
SP,Itirapuã,Sudeste,132.522,2020
BA,Anagé,Nordeste,,2021
TO,Buriti do Tocantins,Norte,117.337,2020
RO,Vale do Paraíso,Norte,161.268,2020
PI,Madeiro,Nordeste,64.448,2020
MA,São João do Paraíso,Nordeste,125.000,2020
GO,Itapuranga,Centro-Oeste,,2021
RS,Mampituba,Sul,,2021
CE,Altaneira,Nordeste,65.486,2020
GO,Cavalcante,Centro-Oeste,447.775,2020
RO,Cacaulândia,Norte,,2021
AM,Caapiranga,Norte,,2021
BA,Euclides da Cunha,Nordeste,,2021
RR,Caroebe,Norte,,2021
BA,Filadélfia,Nordeste,130.404,2020
PR,Lidianópolis,Sul,112.505,2020
MG,Passa-Vinte,Sudeste,35.476,2020
BA,Santa Brígida,Nordeste,,2021
MA,Vila Nova dos Martírios,Nordeste,137.405,2020
PR,Arapuã,Sul,,2021
GO,Rianápolis,Centro-Oeste,,2021
GO,São João dAliança,Centro-Oeste,447.951,2020
MG,Ubaí,Sudeste,,2021
TO,Carrasco Bonito,Norte,45.731,2020
AL,Quebrangulo,Nordeste,173.900,2020
MG,Santa Maria do Salto,Sudeste,,2021
