Municipio,UF,População,Total Despesa
Sangão,SC,11294,21946693.86
Sanharó,PE,24049,35432397.13
Sant'Ana do Livramento,RS,83702,178109580.15
Santa Adélia,SP,15017,35213275.92
Santa Albertina,SP,5941,19846559.8
Santa Amélia,PR,3769,10078485.37
Santa Branca,SP,14395,33374558.65
Santa Brígida,BA,15381,27172004.45
Santa Bárbara,BA,20509,28506513.22
Santa Bárbara d'Oeste,SP,188302,377384921.45
Santa Bárbara de Goiás,GO,6118,13380396.36
Santa Bárbara do Leste,MG,8027,13079634.32
Santa Bárbara do Monte Verde,MG,2972,9824189.83
Santa Bárbara do Pará,PA,18736,24220575.03
Santa Bárbara do Sul,RS,8905,25419752.09
Santa Bárbara do Tugúrio,MG,4646,10439512.1
Santa Carmem,MT,4219,14471263.93
Santa Cecília,PB,6610,12965523.8
Santa Cecília,SC,16315,34475033.3
Santa Cecília do Pavão,PR,3654,9571236.64
Santa Cecília do Sul,RS,1700,7940973.54
Santa Clara d'Oeste,SP,2141,11699552.22
Santa Clara do Sul,RS,6068,13824509.24
Santa Cruz,PB,6573,12600216.22
Santa Cruz,PE,14487,29730212.22
Santa Cruz,RN,38142,47188574.65
Santa Cruz Cabrália,BA,27854,53635110.24
Santa Cruz da Baixa Verde,PE,12240,22663973.47
Santa Cruz da Conceição,SP,4251,16848761.95
Santa Cruz da Esperança,SP,2056,11629728.5
Santa Cruz da Vitória,BA,6808,13729421.35
Santa Cruz das Palmeiras,SP,32009,52696629.86
Santa Cruz de Goiás,GO,3144,1906617.72
Santa Cruz de Minas,MG,8298,10578966.38
Santa Cruz de Monte Castelo,PR,8222,20951339.81
Santa Cruz de Salinas,MG,4434,11113066.18
Santa Cruz do Arari,PA,8957,11187172.46
Santa Cruz do Capibaribe,PE,96908,112855900.19
Santa Cruz do Escalvado,MG,5050,13611657.84
Santa Cruz do Piauí,PI,6110,9284867.71
Santa Cruz do Rio Pardo,SP,46092,95160331.6
Santa Cruz do Sul,RS,124577,278646101.32
Santa Cruz do Xingu,MT,2139,10625755.66
Santa Cruz dos Milagres,PI,3893,6412957.74
Santa Efigênia de Minas,MG,4661,10264524.46
Santa Ernestina,SP,5701,15164682.79
Santa Filomena,PE,13977,26549534.97
Santa Filomena,PI,6150,14070828.02
Santa Filomena do Maranhão,MA,7426,10724875.65
Santa Fé,PR,11158,17645140.63
Santa Fé de Goiás,GO,5073,16473941.98
Santa Fé de Minas,MG,4034,10706170.14
Santa Fé do Araguaia,TO,7054,15423741.61
Santa Fé do Sul,SP,30872,101410833.83
Santa Gertrudes,SP,23793,70521478.9
Santa Helena,MA,41081,53379323.14
Santa Helena,PB,5949,13626696.63
Santa Helena,PR,24895,80083884.19
Santa Helena,SC,2354,10012553.41
Santa Helena de Goiás,GO,37994,64341110.01
Santa Helena de Minas,MG,6309,10358997.0
Santa Inês,BA,10884,16208011.55
Santa Inês,MA,82106,136897112.43
Santa Inês,PB,3592,8625402.85
Santa Inês,PR,1804,9342656.56
Santa Isabel,GO,3814,12496507.36
Santa Isabel,SP,53784,114886580.66
Santa Isabel do Ivaí,PR,8935,14210928.45
Santa Izabel do Oeste,PR,13908,24373925.13
Santa Izabel do Pará,PA,63973,73689516.4
Santa Juliana,MG,12455,29840147.19
Santa Leopoldina,ES,12881,29608166.51
Santa Luz,PI,5666,10058639.82
Santa Luzia,BA,13710,20353942.83
Santa Luzia,MA,75444,102688532.64
Santa Luzia,MG,213345,231495559.8
Santa Luzia,PB,15145,26865672.18
Santa Luzia D'Oeste,RO,8887,14521168.56
Santa Luzia do Itanhy,SE,13628,26673926.05
Santa Luzia do Norte,AL,7257,15950522.91
Santa Luzia do Paruá,MA,23256,31844866.16
Santa Luzia do Pará,PA,19455,32393441.9
Santa Lúcia,PR,3997,11098751.19
Santa Lúcia,SP,8613,16027424.8
Santa Margarida,MG,15772,24715817.94
Santa Margarida do Sul,RS,2469,10862822.58
Santa Maria,RN,5174,11433700.42
Santa Maria,RS,273489,444115126.33
Santa Maria Madalena,RJ,10282,46359767.66
Santa Maria da Boa Vista,PE,40908,66143160.64
Santa Maria da Serra,SP,5776,17487151.81
Santa Maria da Vitória,BA,41824,67159578.72
Santa Maria das Barreiras,PA,18934,39839886.76
Santa Maria de Itabira,MG,10918,18751740.26
Santa Maria de Jetibá,ES,37720,75804902.13
Santa Maria do Cambucá,PE,13626,21276305.93
Santa Maria do Herval,RS,6295,14132470.94
Santa Maria do Oeste,PR,11315,21375333.53
Santa Maria do Pará,PA,23649,26979402.99
Santa Maria do Salto,MG,5406,10983061.91
Santa Maria do Suaçuí,MG,14839,23165981.0
Santa Maria do Tocantins,TO,3143,7826158.81
Santa Mariana,PR,12562,18192608.37
Santa Mercedes,SP,2929,12295457.75
Santa Mônica,PR,3780,11243848.0
Santa Quitéria,CE,43358,65318128.7
Santa Quitéria do Maranhão,MA,29208,50470656.35
Santa Rita,MA,34710,49887810.98
Santa Rita,PB,125278,170956364.07
Santa Rita d'Oeste,SP,2585,12785814.24
Santa Rita de Caldas,MG,9239,14777228.83
Santa Rita de Cássia,BA,28349,40557761.56
Santa Rita de Ibitipoca,MG,3628,9039051.69
Santa Rita de Jacutinga,MG,5090,10672208.27
Santa Rita de Minas,MG,6924,12998070.8
Santa Rita do Araguaia,GO,7599,13451448.18
Santa Rita do Itueto,MG,5782,10130308.91
Santa Rita do Novo Destino,GO,3301,10350885.75
Santa Rita do Pardo,MS,7530,22803670.73
Santa Rita do Passa Quatro,SP,27411,67195569.45
Santa Rita do Sapucaí,MG,40435,52545464.88
Santa Rita do Tocantins,TO,2255,7391338.89
Santa Rita do Trivelato,MT,2831,15174838.59
Santa Rosa,RS,71665,172332077.71
Santa Rosa da Serra,MG,3347,9685207.43
Santa Rosa de Goiás,GO,2823,10142513.15
Santa Rosa de Lima,SC,2116,9774413.82
Santa Rosa de Lima,SE,3886,12239553.76
Santa Rosa de Viterbo,SP,25246,52769867.57
Santa Rosa do Piauí,PI,5182,9046010.9
Santa Rosa do Purus,AC,5374,15895664.75
Santa Rosa do Sul,SC,8261,13329035.94
Santa Rosa do Tocantins,TO,4752,9850779.61
Santa Salete,SP,1511,9906250.87
Santa Teresa,ES,23432,53732456.54
Santa Teresinha,BA,10423,19085441.62
Santa Teresinha,PB,4612,10813875.15
Santa Tereza,RS,1782,8782327.58
Santa Tereza de Goiás,GO,3923,10807210.28
Santa Tereza do Oeste,PR,10548,22204315.09
Santa Tereza do Tocantins,TO,2695,8068745.28
Santa Terezinha,MT,7709,14441357.56
Santa Terezinha,PE,11411,22267329.09
Santa Terezinha,SC,8883,15929112.06
Santa Terezinha de Goiás,GO,10142,15235915.4
Santa Terezinha de Itaipu,PR,22127,48599527.21
Santa Terezinha do Progresso,SC,2776,10161444.78
Santa Terezinha do Tocantins,TO,2543,7439542.68
Santa Vitória,MG,19106,79876364.31
Santa Vitória do Palmar,RS,31618,67575363.92
Santaluz,BA,36452,55618417.19
Santana,AP,108897,102021071.1
Santana,BA,26998,40815970.0
Santana da Boa Vista,RS,8455,15476844.63
Santana da Ponte Pensa,SP,1629,9568658.7
Santana da Vargem,MG,7379,12744263.56
Santana de Cataguases,MG,3793,9743736.34
Santana de Mangueira,PB,5292,13272378.49
Santana de Parnaíba,SP,120998,545199945.48
Santana de Pirapama,MG,8106,14127005.26
Santana do Acaraú,CE,31133,44382389.28
Santana do Araguaia,PA,63031,69148717.37
Santana do Cariri,CE,17445,33162271.24
Santana do Deserto,MG,3997,10072448.7
Santana do Garambéu,MG,2361,8631661.24
Santana do Ipanema,AL,47352,96372512.79
Santana do Itararé,PR,5315,11513073.49
Santana do Jacaré,MG,4793,9351236.27
Santana do Manhuaçu,MG,8834,13483087.46
Santana do Maranhão,MA,12521,
Santana do Matos,RN,13688,21960731.21
Santana do Mundaú,AL,11134,25146449.73
Santana do Paraíso,MG,30255,43293607.1
Santana do Piauí,PI,4522,8350755.31
Santana do Riacho,MG,4211,10645663.58
Santana do Seridó,RN,2647,9418833.17
Santana do São Francisco,SE,7456,12220201.07
Santana dos Garrotes,PB,7209,11867203.31
Santana dos Montes,MG,3908,9757501.86
Santanópolis,BA,9370,17074459.26
Santarém,PA,288462,393681794.47
Santiago,RS,50608,76661693.1
Santiago do Sul,SC,1414,7902858.64
Santo Afonso,MT,3025,9544916.14
Santo Amaro,BA,61407,83694181.47
Santo Amaro da Imperatriz,SC,21221,39961894.41
Santo Amaro das Brotas,SE,11899,19950493.06
Santo Amaro do Maranhão,MA,14828,20045187.85
Santo Anastácio,SP,21059,39759046.18
Santo André,PB,2565,9274116.07
Santo André,SP,704942,1895556157.18
Santo Antônio,RN,23492,31631615.9
Santo Antônio da Alegria,SP,6644,17909629.37
Santo Antônio da Patrulha,RS,41579,68857090.31
Santo Antônio da Platina,PR,44754,60724854.38
Santo Antônio das Missões,RS,11312,27051062.8
Santo Antônio de Goiás,GO,5253,14147711.89
Santo Antônio de Jesus,BA,99407,140895135.67
Santo Antônio de Lisboa,PI,6182,9323823.39
Santo Antônio de Posse,SP,21957,59626995.34
Santo Antônio de Pádua,RJ,41035,87353257.68
Santo Antônio do Amparo,MG,18162,32027722.4
Santo Antônio do Aracanguá,SP,8048,35232949.89
Santo Antônio do Aventureiro,MG,3650,9817440.08
Santo Antônio do Caiuá,PR,2774,9577332.76
Santo Antônio do Descoberto,GO,67993,118976215.74
Santo Antônio do Grama,MG,4138,14470871.33
Santo Antônio do Itambé,MG,4151,10051611.98
Santo Antônio do Içá,AM,24327,37199589.14
Santo Antônio do Jacinto,MG,12042,19181731.12
Santo Antônio do Jardim,SP,6078,15210694.58
Santo Antônio do Leste,MT,4275,13048227.27
Santo Antônio do Leverger,MT,19302,27944105.38
Santo Antônio do Monte,MG,27352,47328955.87
Santo Antônio do Palma,RS,2200,10946208.29
Santo Antônio do Paraíso,PR,2387,8398211.89
Santo Antônio do Pinhal,SP,6733,20272851.58
Santo Antônio do Planalto,RS,2053,11540446.92
Santo Antônio do Retiro,MG,7236,12469792.24
Santo Antônio do Rio Abaixo,MG,1820,10203013.06
Santo Antônio do Sudoeste,PR,19748,35428307.35
Santo Antônio do Tauá,PA,28575,39965009.17
Santo Antônio dos Lopes,MA,14289,77577453.05
Santo Antônio dos Milagres,PI,2102,7175586.12
Santo Augusto,RS,14365,26741126.02
Santo Cristo,RS,14778,32364978.3
Santo Estêvão,BA,52186,64727282.48
Santo Expedito,SP,2963,10237573.13
Santo Expedito do Sul,RS,2504,9884556.01
Santo Hipólito,MG,3276,10160602.06
Santo Inácio,PR,5455,17558178.39
Santo Inácio do Piauí,PI,3706,8636744.12
Santo Ângelo,RS,78836,131614222.26
Santos,SP,433153,1898769945.3
Santos Dumont,MG,47557,55497655.08
Santópolis do Aguapeí,SP,4532,14611174.95
Sapeaçu,BA,17594,30657877.83
Sapezal,MT,20934,61248828.34
Sapiranga,RS,78718,126217000.04
Sapopema,PR,6912,14378175.53
Sapucaia,PA,5395,15977735.21
Sapucaia,RJ,17610,56178231.02
Sapucaia do Sul,RS,137104,222409075.21
Sapucaí-Mirim,MG,6616,10837059.83
Sapé,PB,51700,62211410.46
Saquarema,RJ,79421,205364270.05
Sarandi,PR,88365,124929972.16
Sarandi,RS,22632,42588866.16
Sarapuí,SP,9628,19000999.14
Sardoá,MG,5957,10156027.93
Sarutaiá,SP,3707,11125486.3
Sarzedo,MG,28625,69902512.72
Satuba,AL,15737,24817271.96
Satubinha,MA,12959,16292328.98
Saubara,BA,12078,24062902.6
Saudade do Iguaçu,PR,5293,27841242.21
Saudades,SC,9382,18727969.7
Saúde,BA,12644,20675109.68
Schroeder,SC,17538,32421880.46
Seabra,BA,44765,63252673.78
Seara,SC,17351,39628588.82
Sebastianópolis do Sul,SP,3252,19081217.75
Sebastião Barros,PI,3499,10448251.3
Sebastião Laranjeiras,BA,11336,20303986.94
Sebastião Leal,PI,4189,9609372.15
Seberi,RS,11188,27399490.69
Sede Nova,RS,3078,10677913.62
Segredo,RS,7343,16197856.38
Selbach,RS,5114,14004168.09
Selvíria,MS,6427,26078558.09
Sem-Peixe,MG,2856,10974928.4
Sena Madureira,AC,40311,54060564.58
Senador Alexandre Costa,MA,10657,18096893.49
Senador Amaral,MG,5398,11768306.3
Senador Canedo,GO,95018,340573645.46
Senador Cortes,MG,2046,8027087.05
Senador Elói de Souza,RN,5980,12467933.14
Senador Firmino,MG,7598,13993344.8
Senador Georgino Avelino,RN,4215,10685189.32
Senador Guiomard,AC,20799,32274583.76
Senador José Bento,MG,1804,8246741.94
Senador José Porfírio,PA,12331,26010471.92
Senador La Rocque,MA,14315,36977233.62
Senador Modestino Gonçalves,MG,4564,12536904.63
Senador Pompeu,CE,26656,39332602.88
Senador Rui Palmeira,AL,13765,25121272.84
Senador Salgado Filho,RS,2890,10343096.5
Senador Sá,CE,7210,16253879.33
Sengés,PR,19154,33570370.08
Senhor do Bonfim,BA,80258,103182686.97
Senhora de Oliveira,MG,5864,11943383.63
Senhora do Porto,MG,3597,11221255.64
Senhora dos Remédios,MG,10544,13352811.37
Sentinela do Sul,RS,5438,10237494.25
Sento Sé,BA,40720,66686333.35
Serafina Corrêa,RS,15401,38090002.95
Sericita,MG,7375,11983677.96
Seringueiras,RO,12505,24118830.57
Seritinga,MG,1855,8383119.79
Seropédica,RJ,81260,177752995.09
Serra,ES,467318,886952893.56
Serra Alta,SC,3323,10782957.98
Serra Azul,SP,12592,20237331.72
Serra Azul de Minas,MG,4353,9785452.64
Serra Branca,PB,13409,23494202.95
Serra Caiada,RN,9515,17715853.7
Serra Dourada,BA,18467,28318366.99
Serra Grande,PB,3055,8888362.99
Serra Negra,SP,27879,64882787.95
Serra Negra do Norte,RN,8083,14737989.77
Serra Nova Dourada,MT,1463,8119735.99
Serra Preta,BA,15672,26981815.73
Serra Redonda,PB,7089,11667724.08
Serra Talhada,PE,83051,129053197.22
Serra da Raiz,PB,3190,8750324.6
Serra da Saudade,MG,825,8961990.47
Serra de São Bento,RN,5896,11353967.04
Serra do Mel,RN,11159,24571306.54
Serra do Navio,AP,4761,11108275.37
Serra do Ramalho,BA,33034,55253360.05
Serra do Salitre,MG,11142,23096244.93
Serra dos Aimorés,MG,8720,14691107.27
Serrana,SP,41728,98350333.66
Serrania,MG,7778,13290191.56
Serrano do Maranhão,MA,10693,21768164.67
Serranos,MG,2037,8706008.48
Serranópolis,GO,7962,24816084.71
Serranópolis de Minas,MG,4650,12337816.92
Serranópolis do Iguaçu,PR,4667,19567174.06
Serraria,PB,6218,11291390.1
Serrinha,BA,82157,116067465.53
Serrinha,RN,6620,14688073.97
Serrinha dos Pintos,RN,4752,10867738.7
Serrita,PE,18951,40043388.58
Serro,MG,21419,30952741.73
Serrolândia,BA,13238,18906237.74
Sertaneja,PR,5820,16795984.2
Sertanópolis,PR,16255,33106764.71
Sertânia,PE,35042,61783514.43
Sertão,RS,6285,17095647.47
Sertão Santana,RS,6166,15327930.74
Sertãozinho,PB,4728,11191160.83
Sertãozinho,SP,117539,323714257.75
Sete Barras,SP,13239,30313653.71
Sete Lagoas,MG,227571,475690883.28
Sete Quedas,MS,10876,21504087.46
Sete de Setembro,RS,2153,10236794.2
Setubinha,MG,11592,15816382.05
Severiano Melo,RN,4674,12368442.14
Severiano de Almeida,RS,3915,11796222.89
Severínia,SP,16482,39986598.02
Siderópolis,SC,13499,26364000.74
Sidrolândia,MS,48027,101387303.24
Sigefredo Pacheco,PI,9777,13253935.54
Silva Jardim,RJ,21366,99574557.09
Silvanópolis,TO,5289,9296683.23
Silveira Martins,RS,2495,9891838.52
Silveiras,SP,6083,17738120.31
Silveirânia,MG,2271,8837030.36
Silves,AM,8946,20615942.17
Silvianópolis,MG,6249,11506623.71
Silvânia,GO,19976,42179792.07
Simolândia,GO,6773,12874750.75
Simonésia,MG,19188,26913378.46
Simplício Mendes,PI,12341,19973062.16
Simão Dias,SE,40199,52234978.06
Simão Pereira,MG,2628,10907944.46
Simões,PI,14372,24355263.51
Simões Filho,BA,129964,245744187.86
Sinimbu,RS,10390,18759351.16
Sinop,MT,123634,230848550.55
Siqueira Campos,PR,19661,33270923.61
Sirinhaém,PE,43036,58953534.93
Siriri,SE,8496,22884624.27
Sobradinho,BA,23435,38507398.18
Sobradinho,RS,14861,28038327.12
Sobrado,PB,7623,12667726.9
Sobral,CE,197663,463306785.22
Sobrália,MG,5897,10882674.85
Socorro,SP,38878,63699727.9
Soledade,RS,31150,52081619.8
Soledade de Minas,MG,5971,10780365.78
Solidão,PE,5918,18057765.11
Solonópole,CE,18025,33179968.6
Solânea,PB,26431,32420808.54
Sombrio,SC,28209,47598139.13
Sonora,MS,16543,40668454.39
Sooretama,ES,26843,58306999.32
Sorocaba,SP,629231,1726205748.66
Sorriso,MT,75104,169224994.86
Sossêgo,PB,3376,9587360.32
Soure,PA,23861,34124388.97
Sousa,PB,68030,90075401.99
Souto Soares,BA,17073,26907348.8
Sucupira,TO,1856,5652070.62
Sucupira do Norte,MA,10454,17785511.03
Sucupira do Riachão,MA,5498,12149575.23
Sud Mennucci,SP,7691,31916373.76
Sul Brasil,SC,2698,12542547.49
Sulina,PR,3366,13531296.34
Sumaré,SP,258556,532663507.87
Sumidouro,RJ,15070,48866017.78
Sumé,PB,16595,30396386.3
Surubim,PE,61875,73083767.79
Sussuapara,PI,6457,10550131.15
Suzano,SP,279520,497286871.87
Suzanápolis,SP,3642,19472955.62
Sátiro Dias,BA,20195,31690056.52
São Benedito,CE,45653,64878397.02
São Benedito do Rio Preto,MA,18118,26684208.94
São Benedito do Sul,PE,14900,25709049.91
São Bentinho,PB,4355,9553331.14
São Bento,MA,42867,1.0
São Bento,PB,32651,50265678.19
São Bento Abade,MG,4915,11172517.68
São Bento do Norte,RN,2967,7920657.95
São Bento do Sapucaí,SP,10831,28658361.94
São Bento do Sul,SC,78998,179095966.95
São Bento do Tocantins,TO,4954,9651612.21
São Bento do Trairí,RN,4205,10862834.59
São Bento do Una,PE,56413,76135198.68
São Bernardino,SC,2641,10159873.55
São Bernardo,MA,27369,41761427.03
São Bernardo do Campo,SP,805895,3215900164.37
São Bonifácio,SC,2989,9528083.15
São Borja,RS,63194,126357662.88
São Braz do Piauí,PI,4363,9182492.52
São Brás,AL,7006,14922621.2
São Brás do Suaçuí,MG,3673,13511022.71
São Caetano do Sul,SP,156362,945825504.33
São Caitano,PE,36485,43853211.92
São Carlos,SC,10753,23062536.41
São Carlos,SP,236457,566804083.03
São Carlos do Ivaí,PR,6668,16246076.76
São Cristovão do Sul,SC,5255,13094687.11
São Cristóvão,SE,84620,80079969.56
São Desidério,BA,31785,103411353.97
São Domingos,BA,9820,16334752.04
São Domingos,GO,12016,23306147.43
São Domingos,PB,2999,10540208.86
São Domingos,SC,9530,23201595.11
São Domingos,SE,10801,16369014.48
São Domingos das Dores,MG,5622,11703785.78
São Domingos do Araguaia,PA,24012,39448399.33
São Domingos do Azeitão,MA,7147,13949768.86
São Domingos do Cariri,PB,2522,7351851.41
São Domingos do Maranhão,MA,33725,61493939.88
São Domingos do Norte,ES,8595,21363578.07
São Domingos do Prata,MG,17811,28445865.37
São Domingos do Sul,RS,3046,11713897.85
São Felipe,BA,21513,32096160.02
São Felipe D'Oeste,RO,6219,13573889.88
São Fernando,RN,3556,10165270.24
São Fidélis,RJ,37717,75597942.3
São Francisco,MG,56003,69288512.49
São Francisco,PB,3389,9784092.34
São Francisco,SE,3705,11380860.6
São Francisco,SP,2864,9921712.53
São Francisco de Assis,RS,19621,36985937.23
São Francisco de Assis do Piauí,PI,5728,11413259.67
São Francisco de Goiás,GO,6315,13004321.11
São Francisco de Itabapoana,RJ,41397,98426557.39
São Francisco de Paula,MG,6666,11475273.22
São Francisco de Paula,RS,21408,37556775.1
São Francisco de Sales,MG,6069,18535147.31
São Francisco do Brejão,MA,11027,17697203.17
São Francisco do Conde,BA,36677,362260252.82
São Francisco do Glória,MG,5211,12060177.64
São Francisco do Guaporé,RO,18265,33957229.62
São Francisco do Maranhão,MA,11955,17536481.9
São Francisco do Oeste,RN,4103,10246397.65
São Francisco do Pará,PA,15301,20163548.43
São Francisco do Piauí,PI,6335,15860763.42
São Francisco do Sul,SC,46477,181996405.49
São Félix,BA,15004,32564783.36
São Félix de Balsas,MA,4593,10905903.89
São Félix de Minas,MG,3467,11111913.08
São Félix do Araguaia,MT,10951,27936700.05
São Félix do Coribe,BA,15443,26711276.95
São Félix do Piauí,PI,2945,9271551.08
São Félix do Tocantins,TO,1518,6099327.04
São Félix do Xingu,PA,106940,112520404.21
São Gabriel,BA,19495,35099661.45
São Gabriel,RS,62594,99873493.87
São Gabriel da Cachoeira,AM,41575,60395933.96
São Gabriel da Palha,ES,35232,62933597.31
São Gabriel do Oeste,MS,24035,84911638.03
São Geraldo,MG,11178,14267408.87
São Geraldo da Piedade,MG,4372,11549307.49
São Geraldo do Araguaia,PA,25056,42872232.35
São Geraldo do Baixio,MG,3740,8957132.93
São Gonçalo,RJ,1025507,869576351.6
São Gonçalo do Abaeté,MG,6651,17326898.42
São Gonçalo do Amarante,CE,46247,114638643.84
São Gonçalo do Amarante,RN,95218,170842729.44
São Gonçalo do Gurguéia,PI,2923,8376575.46
São Gonçalo do Pará,MG,11289,17748587.62
São Gonçalo do Piauí,PI,4866,9289210.78
São Gonçalo do Rio Abaixo,MG,10384,160369256.43
São Gonçalo do Rio Preto,MG,3170,9675979.4
São Gonçalo do Sapucaí,MG,25007,36507001.58
São Gonçalo dos Campos,BA,36641,44324214.96
São Gotardo,MG,33774,46386531.95
São Jerônimo,RS,23263,36030794.62
São Jerônimo da Serra,PR,11588,19264149.89
São Joaquim,SC,25841,33770114.4
São Joaquim da Barra,SP,49259,91248944.42
São Joaquim de Bicas,MG,28064,51719172.87
São Joaquim do Monte,PE,21079,33511518.28
São Jorge,RS,2850,9568275.22
São Jorge d'Oeste,PR,9313,29231987.56
São Jorge do Ivaí,PR,5671,15284716.76
São Jorge do Patrocínio,PR,6088,22057769.44
São José,SC,224779,367140110.5
São José da Barra,MG,7155,16783123.09
São José da Bela Vista,SP,8759,18470217.68
São José da Boa Vista,PR,6596,12726484.41
São José da Coroa Grande,PE,19663,31922516.35
São José da Lagoa Tapada,PB,7674,18234234.22
São José da Laje,AL,23847,43062767.66
São José da Lapa,MG,21538,49161538.71
São José da Safira,MG,4241,11451345.55
São José da Tapera,AL,31867,60960483.47
São José da Varginha,MG,4556,12010138.95
São José da Vitória,BA,6202,12751928.97
São José das Missões,RS,2761,9650004.15
São José das Palmeiras,PR,3880,10542148.2
São José de Caiana,PB,6179,12918210.85
São José de Espinharas,PB,4738,10672271.04
São José de Mipibu,RN,42345,55585746.85
São José de Piranhas,PB,19732,29232206.31
São José de Princesa,PB,4077,9533969.8
São José de Ribamar,MA,170423,192436284.54
São José de Ubá,RJ,7143,31639122.69
São José do Alegre,MG,4163,8804278.87
São José do Barreiro,SP,4190,14073330.45
São José do Belmonte,PE,33541,47899099.48
São José do Bonfim,PB,3411,9331684.07
São José do Brejo do Cruz,PB,1753,8513121.28
São José do Calçado,ES,10987,26579529.66
São José do Campestre,RN,12856,14039616.0
São José do Cedro,SC,13904,27217682.84
São José do Cerrito,SC,9061,15225494.09
São José do Divino,MG,3942,11448708.16
São José do Divino,PI,5227,11791686.15
São José do Egito,PE,33105,48968437.08
São José do Goiabal,MG,5717,10947396.14
São José do Herval,RS,2217,10650476.09
São José do Hortêncio,RS,4373,11608084.51
São José do Inhacorá,RS,2237,10295453.12
São José do Jacuri,MG,6694,12907439.75
São José do Jacuípe,BA,10938,20274999.54
São José do Mantimento,MG,2721,10923681.91
São José do Norte,RS,26721,40210647.24
São José do Ouro,RS,7116,14556079.3
São José do Peixe,PI,3707,8515526.76
São José do Piauí,PI,6621,11675424.94
São José do Povo,MT,3741,9335673.87
São José do Rio Claro,MT,18339,30393116.52
São José do Rio Pardo,SP,54024,130542810.57
São José do Rio Preto,SP,434039,1186261556.56
São José do Sabugi,PB,4102,10268100.66
São José do Seridó,RN,4488,11540185.56
São José do Sul,RS,2218,10932630.0
São José do Vale do Rio Preto,RJ,20704,48724333.41
São José do Xingu,MT,5333,15134988.98
São José dos Ausentes,RS,3441,13133929.47
São José dos Basílios,MA,7507,13729462.74
São José dos Campos,SP,673255,1921334397.19
São José dos Cordeiros,PB,3749,9142261.51
São José dos Pinhais,PR,287792,716685880.53
São José dos Quatro Marcos,MT,18801,33656587.74
São José dos Ramos,PB,5762,12052123.83
São João,PE,22162,41413357.43
São João,PR,10777,22874846.97
São João Batista,MA,20152,34953516.1
São João Batista,SC,30337,53912489.19
São João Batista do Glória,MG,7241,20429239.56
São João Evangelista,MG,16028,24496150.95
São João Nepomuceno,MG,26114,35560095.52
São João d'Aliança,GO,11467,17577020.89
São João da Baliza,RR,7284,13734855.35
São João da Barra,RJ,33951,394838511.14
São João da Boa Vista,SP,87912,234760304.13
São João da Canabrava,PI,4509,10121554.86
São João da Fronteira,PI,5760,12821081.66
São João da Mata,MG,2808,8930043.95
São João da Paraúna,GO,1649,10832810.67
São João da Ponta,PA,5608,13451006.91
São João da Ponte,MG,25961,35742174.44
São João da Urtiga,RS,4851,12027769.42
São João da Varjota,PI,4728,9402897.99
São João das Duas Pontes,SP,2624,12311511.51
São João das Missões,MG,12421,20505358.2
São João de Iracema,SP,1865,16493322.33
São João de Meriti,RJ,460799,513661772.26
São João del Rei,MG,88405,139332346.76
São João do Arraial,PI,7636,13692411.2
São João do Caiuá,PR,6051,11333679.03
São João do Cariri,PB,4352,8766759.5
São João do Carú,MA,15599,27277730.69
São João do Itaperiú,SC,3578,12210539.83
São João do Ivaí,PR,11461,20131105.74
São João do Jaguaribe,CE,7829,13764171.34
São João do Manhuaçu,MG,10917,18781351.5
São João do Manteninha,MG,5530,11179495.28
São João do Oeste,SC,6211,17744719.43
São João do Oriente,MG,7964,10896758.05
São João do Pacuí,MG,4276,9818756.4
São João do Paraíso,MA,10917,20925519.02
São João do Paraíso,MG,23303,30486370.63
São João do Pau d'Alho,SP,2150,9504322.74
São João do Piauí,PI,20000,30610139.68
São João do Polêsine,RS,2657,10048132.12
São João do Rio do Peixe,PB,17917,28404975.27
São João do Sabugi,RN,6174,13641711.43
São João do Soter,MA,17809,34450711.93
São João do Sul,SC,7183,14834153.01
São João do Tigre,PB,4442,9772030.67
São João do Triunfo,PR,14462,23416452.66
São João dos Patos,MA,25199,38403440.23
São Julião,PI,5761,11552337.89
São Leopoldo,RS,225520,547974280.31
São Lourenço,MG,44037,89967617.8
São Lourenço da Mata,PE,108301,114071793.42
São Lourenço da Serra,SP,14874,32946806.92
São Lourenço do Oeste,SC,22786,49380796.59
São Lourenço do Piauí,PI,4483,8409649.3
São Lourenço do Sul,RS,44498,84874977.6
São Ludgero,SC,11940,28645183.36
São Luis do Piauí,PI,2591,7699844.41
São Luiz,RR,7210,13589168.74
São Luiz Gonzaga,RS,35344,57386158.62
São Luís,MA,1053922,2119762289.54
São Luís Gonzaga do Maranhão,MA,19510,38162952.02
São Luís de Montes Belos,GO,31832,62476088.58
São Luís do Curu,CE,12663,24853157.57
São Luís do Paraitinga,SP,10721,31156957.72
São Luís do Quitunde,AL,34239,59630805.5
São Mamede,PB,7794,15442506.0
São Manoel do Paraná,PR,2170,10272774.87
São Manuel,SP,40027,87033849.48
São Marcos,RS,21024,43647162.39
São Martinho,RS,5868,15579916.67
São Martinho,SC,3239,10050190.06
São Martinho da Serra,RS,3303,9695798.6
São Mateus,ES,120725,249670184.2
São Mateus do Maranhão,MA,40095,51065696.26
São Mateus do Sul,PR,43750,80232476.52
São Miguel,RN,22921,32200202.85
São Miguel Arcanjo,SP,32621,51500716.87
São Miguel da Baixa Grande,PI,2403,6412957.74
São Miguel da Boa Vista,SC,1897,8657125.57
