Municipio,UF,População,Total Despesa
Araruama,RJ,118964,248636540.55
Araruna,PB,19653,30369523.06
Araruna,PR,13926,23128768.93
Arataca,BA,11822,21238550.63
Aratiba,RS,6687,33731916.77
Aratuba,CE,11482,21678061.26
Aratuípe,BA,9146,15098158.99
Araucária,PR,129209,574024701.91
Arauá,SE,10796,21265531.79
Araxá,MG,99986,213686703.78
Araçagi,PB,17252,25671648.41
Araçariguama,SP,19144,76561115.27
Araças,BA,12351,28834346.67
Araçatuba,SP,190536,394558121.47
Araçaí,MG,2335,8971339.69
Araçoiaba,PE,19333,27669193.76
Araçoiaba da Serra,SP,30088,62867758.21
Araçu,GO,3823,10546290.05
Araçuaí,MG,37169,37362170.23
Araújos,MG,8517,12741995.75
Arceburgo,MG,10146,20558536.32
Arco-Íris,SP,1925,9955797.5
Arcos,MG,38630,69186252.72
Arcoverde,PE,72102,99748651.02
Areado,MG,14503,20611923.97
Areal,RJ,11785,40121205.95
Arealva,SP,8245,20267862.64
Areia,PB,23472,28274883.17
Areia Branca,SE,17825,31541924.88
Areia de Baraúnas,PB,1908,8653884.67
Areial,PB,6819,13611298.33
Areias,SP,3839,12205718.22
Areiópolis,SP,10989,22049638.36
Arenápolis,MT,9955,14985652.8
Arenópolis,GO,3180,12224123.0
Argirita,MG,2924,9313773.32
Aricanduva,MG,5036,9875815.09
Arinos,MG,18198,31891472.2
Aripuanã,MT,19919,42225709.44
Ariquemes,RO,101269,154338676.22
Ariranha,SP,9095,42927094.84
Ariranha do Ivaí,PR,2421,8707236.78
Armazém,SC,8159,14440748.38
Armação dos Búzios,RJ,29790,191782456.76
Arneiroz,CE,7766,16969797.98
Aroazes,PI,5784,9504845.52
Aroeiras,PB,19259,32766648.92
Aroeiras do Itaim,PI,2459,6491869.51
Arraial,PI,4688,8767300.2
Arraial do Cabo,RJ,28627,133434144.52
Arraias,TO,10833,11651007.86
Arroio Grande,RS,18979,35828373.31
Arroio Trinta,SC,3562,13407395.76
Arroio do Meio,RS,19792,43386815.17
Arroio do Padre,RS,2857,9736908.89
Arroio do Sal,RS,8488,26484170.75
Arroio do Tigre,RS,13235,24540810.42
Arroio dos Ratos,RS,14132,26918116.95
Artur Nogueira,SP,48420,103276040.99
Aruanã,GO,8335,28201372.4
Arujá,SP,81326,186934216.75
Arvoredo,SC,2281,11520001.35
Arvorezinha,RS,10573,18558641.76
Arês,RN,13764,30537107.92
Ascurra,SC,7683,14360108.26
Aspásia,SP,1854,9489025.2
Assaré,CE,22988,36933483.98
Assaí,PR,16436,30787459.22
Assis,SP,100204,188371328.54
Assis Brasil,AC,6480,13672695.7
Assis Chateaubriand,PR,33988,55109664.61
Assunção,PB,3732,10292749.95
Assunção do Piauí,PI,7645,14210704.76
Astolfo Dutra,MG,13738,19248329.23
Astorga,PR,25745,46515315.66
Atalaia,AL,46787,81140527.96
Atalaia,PR,4010,11744234.1
Atalaia do Norte,AM,17174,26224903.38
Atalanta,SC,3310,9995168.03
Ataléia,MG,14344,18293255.39
Atibaia,SP,134567,319935053.74
Atilio Vivacqua,ES,10862,27103978.95
Augustinópolis,TO,17140,19492332.97
Augusto Corrêa,PA,42591,66850081.26
Augusto Pestana,RS,7206,16254584.89
Augusto de Lima,MG,5062,12970550.34
Aurelino Leal,BA,13525,21113986.67
Auriflama,SP,14831,27999067.83
Aurilândia,GO,3599,10767897.88
Aurora,CE,24716,37587948.16
Aurora,SC,5661,14689008.32
Aurora do Pará,PA,28441,41443295.42
Autazes,AM,35554,56811384.95
Avanhandava,SP,12307,24242083.05
Avaré,SP,87238,191478468.83
Avaí,SP,5210,16788086.07
Aveiro,PA,15959,30003755.67
Avelino Lopes,PI,11341,15978306.03
Avelinópolis,GO,2504,10238864.4
Axixá,MA,11706,19620379.44
Axixá do Tocantins,TO,9632,24163639.21
Açailândia,MA,107790,204492288.69
Açu,RN,56354,76486354.17
Açucena,MG,10297,17320467.62
Babaçulândia,TO,10720,15070435.04
Bacabal,MA,101851,112652705.61
Bacabeira,MA,15982,56932629.58
Bacuri,MA,17164,34974378.42
Bacurituba,MA,5440,12207393.57
Bady Bassitt,SP,15851,34789735.64
Baependi,MG,19045,32229240.49
Bagé,RS,121235,236379362.02
Baianópolis,BA,13892,24234944.99
Baixa Grande,BA,21174,31905870.1
Baixa Grande do Ribeiro,PI,11014,26484761.09
Baixio,CE,6165,14202283.14
Baixo Guandu,ES,31126,59861522.27
Balbinos,SP,4433,13021835.59
Baldim,MG,8093,13885730.64
Baliza,GO,4197,10884078.29
Balneário Arroio do Silva,SC,10876,21232103.34
Balneário Barra do Sul,SC,9330,25915850.63
Balneário Camboriú,SC,120926,464404101.25
Balneário Gaivota,SC,9259,19689103.4
Balneário Pinhal,RS,11895,31321964.84
Balneário Piçarras,SC,19329,47701399.67
Balneário Rincão,SC,11628,15044121.75
Balsa Nova,PR,12059,31334994.41
Balsas,MA,89126,187565614.36
Bambuí,MG,23665,42111722.63
Banabuiú,CE,17775,33086626.9
Bananal,SP,10680,24177869.0
Bananeiras,PB,22012,34938357.6
Bandeira,MG,5059,10885515.05
Bandeira do Sul,MG,5603,10422375.97
Bandeirante,SC,2865,11483075.73
Bandeirantes,MS,6747,22377542.65
Bandeirantes,PR,32800,45409416.77
Bandeirantes do Tocantins,TO,3336,10515357.72
Bannach,PA,3340,13979674.78
Banzaê,BA,12534,22454267.79
Baraúna,PB,4577,10478437.14
Barbacena,MG,132980,250283548.4
Barbalha,CE,57818,131933944.46
Barbosa,SP,6998,17410936.2
Barbosa Ferraz,PR,12683,21638290.67
Barcarena,PA,109975,209600253.76
Barcelona,RN,4067,10186157.26
Barcelos,AM,27110,33930652.75
Bariri,SP,33466,70339847.65
Barra,BA,53361,84505755.42
Barra Bonita,SC,1842,8297267.22
Barra Bonita,SP,36310,82480127.94
Barra D'Alcântara,PI,3886,8676582.62
Barra Funda,RS,2476,11529991.37
Barra Longa,MG,5991,12893782.92
Barra Mansa,RJ,179472,339477082.51
Barra Velha,SC,24943,53717634.6
Barra da Estiva,BA,22409,35095941.64
Barra de Guabiraba,PE,13523,19414646.38
Barra de Santa Rosa,PB,14847,25582997.61
Barra de Santana,PB,8305,14505418.42
Barra de Santo Antônio,AL,15377,33942976.14
Barra de São Francisco,ES,43882,80755184.5
Barra de São Miguel,AL,8112,21282549.36
Barra de São Miguel,PB,5824,12546253.1
Barra do Bugres,MT,33022,68622753.89
Barra do Chapéu,SP,5514,
Barra do Choça,BA,35567,63260874.57
Barra do Corda,MA,85022,106830120.65
Barra do Garças,MT,57791,129471984.33
Barra do Guarita,RS,3216,10487538.06
Barra do Jacaré,PR,2813,9335638.76
Barra do Mendes,BA,14684,25849604.84
Barra do Ouro,TO,4371,9382416.38
Barra do Piraí,RJ,96261,172697623.63
Barra do Quaraí,RS,4176,13226579.45
Barra do Ribeiro,RS,13150,20835001.23
Barra do Rio Azul,RS,1993,8783272.3
Barra do Rocha,BA,6261,12980017.58
Barra do Turvo,SP,7878,29952706.74
Barra dos Coqueiros,SE,27495,55260446.7
Barracão,PR,10143,20808430.68
Barracão,RS,5498,15722204.71
Barras,PI,45786,62661004.83
Barreira,CE,20371,33978309.91
Barreiras,BA,150896,257076430.0
Barreiras do Piauí,PI,3278,8924028.5
Barreirinha,AM,29737,54948034.31
Barreirinhas,MA,58599,18793417.95
Barreiros,PE,41987,65866227.03
Barretos,SP,117779,323758858.88
Barrinha,SP,30506,57588749.39
Barro,CE,22104,33889115.97
Barro Alto,BA,14855,25038929.55
Barro Alto,GO,9606,32326340.14
Barro Duro,PI,6627,9774034.12
Barro Preto,BA,6767,14507767.9
Barrocas,BA,15470,33648919.1
Barrolândia,TO,5557,9162898.28
Barroquinha,CE,14771,28308477.91
Barros Cassal,RS,11478,22327814.9
Barroso,MG,20484,36079608.01
Barueri,SP,256756,1838463307.56
Barão,RS,6008,14778734.7
Barão de Antonina,SP,3297,10928158.99
Barão de Cocais,MG,30501,68141137.0
Barão de Cotegipe,RS,6744,13805472.28
Barão de Grajaú,MA,18074,25199133.83
Barão de Monte Alto,MG,5770,12171554.23
Barão do Triunfo,RS,7331,15570364.48
Bastos,SP,21061,42311855.27
Bataguassu,MS,21142,48333760.2
Batalha,AL,18201,32987401.89
Batalha,PI,26215,38455421.97
Batatais,SP,59654,125283663.97
Batayporã,MS,11167,26106799.14
Baturité,CE,34512,54556126.67
Bauru,SP,362062,830650385.58
Bayeux,PB,102789,116869184.13
Baía Formosa,RN,9048,20269311.73
Baía da Traição,PB,8561,15490774.97
Bebedouro,SP,77487,185605740.65
Beberibe,CE,51442,79393619.23
Bela Cruz,CE,31804,46565929.23
Bela Vista,MS,23888,41310875.83
Bela Vista da Caroba,PR,3926,9472551.15
Bela Vista de Goiás,GO,26642,49006241.49
Bela Vista de Minas,MG,10342,19577533.95
Bela Vista do Maranhão,MA,10717,28398978.75
Bela Vista do Paraíso,PR,15565,23894507.97
Bela Vista do Piauí,PI,3882,8868335.18
Bela Vista do Toldo,SC,6191,16137056.38
Belford Roxo,RJ,477583,551845184.51
Belmiro Braga,MG,3499,11983970.82
Belmonte,BA,23471,43258339.92
Belmonte,SC,2692,10036706.57
Belo Campo,BA,18539,29284848.78
Belo Horizonte,MG,2479165,8806532879.65
Belo Jardim,PE,74902,116178089.13
Belo Monte,AL,6751,15600673.42
Belo Oriente,MG,25026,63495594.71
Belo Vale,MG,7789,30628507.83
Belterra,PA,16808,31616050.37
Belágua,MA,7105,14503321.08
Belém,AL,4737,13223292.79
Belém,PA,1425922,2118642175.76
Belém,PB,17495,26598613.23
Belém de Maria,PE,11777,22501929.48
Belém do Brejo do Cruz,PB,7291,16385188.12
Belém do Piauí,PI,3413,8797301.37
Belém do São Francisco,PE,20680,36055272.61
Beneditinos,PI,10014,14419873.1
Benedito Novo,SC,10906,19104008.5
Benevides,PA,56112,80305704.38
Benjamin Constant,AM,37564,52240246.97
Benjamin Constant do Sul,RS,2305,9814426.57
Bento Fernandes,RN,5385,12445668.8
Bento Gonçalves,RS,111384,270615622.43
Bento de Abreu,SP,2831,13747133.18
Bequimão,MA,20821,26435136.59
Berilo,MG,12508,16040595.06
Berizal,MG,4597,10098349.56
Bernardino Batista,PB,3266,10050590.48
Bernardino de Campos,SP,11133,22681723.35
Bernardo Sayão,TO,4547,9533501.44
Bernardo do Mearim,MA,6176,12263490.81
Bertioga,SP,53679,283760826.99
Bertópolis,MG,4648,8585284.25
Beruri,AM,17332,35958715.01
Betim,MG,406474,1250001209.62
Betânia,PE,12433,25698066.11
Betânia do Piauí,PI,6086,12448149.4
Bezerros,PE,60213,85842948.78
Bias Fortes,MG,3765,9266401.64
Bicas,MG,14268,21776414.55
Biguaçu,SC,62383,126654596.93
Bilac,SP,7519,20547717.74
Biquinhas,MG,2664,10403643.93
Birigui,SP,115898,244409595.56
Biritiba-Mirim,SP,30492,51809323.88
Biritinga,BA,15737,29209075.31
Bituruna,PR,16416,42218477.13
Blumenau,SC,329082,933448453.04
Boa Esperança,ES,15169,40530769.98
Boa Esperança,MG,40018,69019040.87
Boa Esperança,PR,4559,17971114.23
Boa Esperança do Iguaçu,PR,2763,11706896.3
Boa Esperança do Sul,SP,14356,34985165.34
Boa Hora,PI,6516,13421738.39
Boa Nova,BA,15141,26994360.44
Boa Saúde,RN,9651,13963796.66
Boa Ventura,PB,5608,10061553.58
Boa Ventura de São Roque,PR,6702,17075019.03
Boa Viagem,CE,53608,82911129.37
Boa Vista,PB,6669,16843598.25
Boa Vista,RR,308996,573077703.21
Boa Vista da Aparecida,PR,8028,20291247.84
Boa Vista das Missões,RS,2173,9894152.99
Boa Vista do Buricá,RS,6800,15348509.31
Boa Vista do Cadeado,RS,2520,13133920.66
Boa Vista do Gurupi,MA,8626,2347795.66
Boa Vista do Incra,RS,2537,11660266.39
Boa Vista do Ramos,AM,16820,24645906.57
Boa Vista do Sul,RS,2860,12072958.93
Boa Vista do Tupim,BA,18888,34196891.8
Boca da Mata,AL,27074,51210684.13
Boca do Acre,AM,32792,42863710.83
Bocaina,PI,4425,9176419.75
Bocaina,SP,11568,27674298.8
Bocaina de Minas,MG,5163,9705799.73
Bocaina do Sul,SC,3393,10227216.88
Bocaiúva,MG,48974,67807871.92
Bocaiúva do Sul,PR,11826,17865988.24
Bodocó,PE,36783,67804942.21
Bodoquena,MS,7979,31656345.07
Bodó,RN,2412,12360475.67
Bofete,SP,10504,28434106.74
Boituva,SP,53431,140095890.31
Bom Conselho,PE,47273,77097970.72
Bom Despacho,MG,48350,65418189.65
Bom Jardim,MA,40134,57564785.97
Bom Jardim,PE,38816,55266460.79
Bom Jardim,RJ,25969,69588074.1
Bom Jardim da Serra,SC,4566,15477252.99
Bom Jardim de Goiás,GO,8752,15040346.27
Bom Jardim de Minas,MG,6663,13454020.95
Bom Jesus,PB,2495,10500308.65
